Matthew Martin 7 2 5
Matthew Lewis 6 6 7
Karen Martin 6 6 5
Paul Taylor 5 4 4
David Green 7 9 5
John Anderson 4 5 5
Donald Wright 7 5 5
Donna Martin 7 3 5
James Hernandez 6 6 5
Susan Miller 6 4 4
Nancy Allen 6 6 6
Susan Hill 6 4 7
Charles Miller 7 5 7
Daniel Hernandez 7 10 6
Charles Lee 8 6 5
Lisa Lewis 6 9 5
Kimberly Robinson 6 4 8
Jennifer Thomas 6 5 5
Donald Hernandez 7 3 10
Margaret Hernandez 5 5 5
Linda Robinson 6 4 7
Elizabeth Hill 4 7 6
Linda Lopez 5 7 3
Mary Williams 6 3 5
Susan Hernandez 7 8 5
Margaret Garcia 6 6 8
Joshua Young 3 5 5
Thomas Ramirez 6 7 4
Andrew King 5 4 8
James Gonzalez 3 2 6
Paul Wilson 7 7 6
Jessica Flores 3 7 6
Patricia Hill 6 6 6
Lisa Johnson 4 7 7
Daniel Allen 5 4 4
Richard Lee 5 1 8
Linda Ramirez 6 6 6
Donna Rodriguez 4 7 4
Michael Wright 6 8 7
Jennifer Harris 4 4 5
Michelle King 5 8 9
William Clark 1 6 3
Joshua Ramirez 8 6 6
Andrew Jones 0 3 5
Emily White 4 7 4
Anthony Hernandez 5 6 6
Anthony Martinez 4 3 5
Matthew Thompson 5 5 3
Thomas Johnson 3 6 7
David Sanchez 8 7 6
Linda Thompson 7 4 4
James Lewis 4 6 6
Mark Hernandez 6 3 8
Joshua Wilson 7 9 8
Kimberly Nguyen 7 6 5
Barbara Davis 5 6 6
Donna Miller 4 5 6
Donald King 4 5 5
Barbara King 4 6 7
Karen Rodriguez 7 5 9
Nancy Sanchez 7 5 5
Donald Johnson 5 5 5
Thomas Thompson 3 3 5
Karen Sanchez 9 6 7
William Jones 6 5 6
Karen Smith 5 4 6
Kimberly Ramirez 5 6 7
Paul Lee 7 5 4
Donald White 6 6 5
Sandra Wright 6 6 4
Michael Ramirez 5 8 6
Sandra King 5 8 5
Susan Walker 8 4 5
Charles White 6 6 5
Thomas Scott 1 4 5
Margaret Smith 3 5 5
Donna Davis 4 3 7
Sandra Scott 5 5 6
Joshua Thomas 5 7 4
Joshua Hill 3 4 5
Jennifer Brown 2 5 6
Paul Johnson 6 10 2
Nancy Jackson 6 4 5
Steven Green 6 8 3
Michelle Scott 5 6 5
Michelle Brown 5 6 6
Joseph Jackson 8 4 4
Joseph Allen 4 6 3
Jennifer Allen 6 4 6
Lisa Allen 5 9 6
Christopher Hill 4 5 6
Steven Flores 4 5 7
James Torres 7 5 7
Paul Anderson 7 7 5
Joseph Miller 4 7 5
Lisa Wilson 7 5 6
Mary Gonzalez 7 3 6
Joseph King 6 4 7
Jennifer Thompson 6 7 7
Barbara Martinez 7 5 7
Joseph Wilson 8 6 4
Joshua Sanchez 7 4 8
Paul Hernandez 4 4 5
Sarah Jackson 5 4 8
Daniel Jackson 4 7 4
Kimberly Smith 4 6 8
Paul Harris 3 4 4
Karen Williams 2 3 5
Karen Walker 5 6 6
Mary Ramirez 5 5 6
Jennifer Clark 4 6 7
Betty Wilson 7 7 6
Betty Thomas 5 7 5
Barbara Sanchez 4 7 6
Kimberly Martin 5 5 5
John Gonzalez 6 7 3
David Torres 6 5 6
Elizabeth Thomas 5 7 2
John Thompson 8 6 6
Nancy Torres 5 6 5
Jessica Walker 5 8 4
Mark Lee 6 7 7
Ashley Young 8 6 5
Joseph Davis 6 5 6
Lisa Moore 6 6 6
Joseph Lopez 7 6 7
Kimberly Taylor 6 2 6
Anthony Davis 6 7 5
Andrew Clark 8 7 6
Mark Young 5 8 4
James Wilson 7 8 6
Anthony Sanchez 4 9 6
Margaret Martinez 6 6 7
Elizabeth Scott 7 5 7
Christopher Harris 8 4 5
Paul Wright 5 7 6
Paul Rodriguez 2 9 6
Karen Lee 6 2 2
Andrew Wright 7 7 4
Lisa Nguyen 6 4 7
Joshua Martin 4 6 6
Mary Clark 6 7 6
Christopher Walker 6 7 5
Anthony Garcia 5 8 3
Kimberly Hill 4 4 6
Matthew Moore 7 6 6
Linda Allen 5 6 4
Matthew Jones 8 2 1
Jessica Wilson 2 8 6
Joshua Smith 6 9 7
Richard White 6 7 4
Emily Young 6 6 10
Jennifer Anderson 5 3 4
David Lee 4 6 6
Joshua Brown 5 4 4
Andrew Walker 8 6 6
Donna Gonzalez 9 5 2
Charles Walker 3 7 7
Donna Nguyen 6 5 6
Jennifer Sanchez 7 6 4
Steven Nguyen 5 4 7
Karen Brown 3 4 5
Nancy Thompson 6 4 8
Elizabeth Davis 4 6 5
Thomas King 5 5 9
Elizabeth Garcia 6 3 4
Andrew Rodriguez 10 7 2
Steven Hernandez 6 7 3
Nancy White 8 5 6
Richard Gonzalez 6 8 10
Sarah Young 5 4 5
Lisa Williams 4 5 7
Jessica Johnson 2 6 6
Mark Thomas 5 3 5
Joseph Wright 6 6 5
Patricia Clark 1 5 4
Margaret Torres 6 6 8
Andrew Lewis 5 5 5
Kimberly Gonzalez 6 4 5
Sandra Thomas 7 6 6
William Johnson 4 5 4
Michael Allen 4 4 7
Donna Harris 7 5 5
Ashley Green 4 7 7
Emily Walker 7 8 6
Donna Smith 5 1 5
Ashley Anderson 5 5 6
Jessica Taylor 7 6 11
Michelle Thomas 5 6 6
Donna Flores 3 6 4
Jennifer Moore 6 4 7
William Martinez 7 7 7
Mark Lewis 3 7 6
Anthony Allen 7 6 6
Robert Jones 8 8 7
Susan Rodriguez 4 6 6
James Brown 6 5 8
Robert Lewis 6 2 4
Steven Torres 6 5 7
